SGD Classifier, 80-20, 86.59881255301103, 0.012658227848101266, 0.5, <function f1_score at 0x00000206BC5F2020>, {Penalty = l1 Tolerance = 1e-05 Loss = hinge}
SGD Classifier, 80-20, 86.42917726887192, 0.03164556962025317, 0.4166666666666667, <function f1_score at 0x00000206BC5F2020>, {Penalty = l1 Tolerance = 1e-05 Loss = modified_huber}
SGD Classifier, 80-20, 85.49618320610686, 0.10759493670886076, 0.3617021276595745, <function f1_score at 0x00000206BC5F2020>, {Penalty = l1 Tolerance = 1e-05 Loss = perceptron}
SGD Classifier, 80-20, 86.34435962680237, 0.012658227848101266, 0.2857142857142857, <function f1_score at 0x00000206BC5F2020>, {Penalty = l1 Tolerance = 0.0001 Loss = hinge}
SGD Classifier, 80-20, 86.51399491094148, 0.04430379746835443, 0.4666666666666667, <function f1_score at 0x00000206BC5F2020>, {Penalty = l1 Tolerance = 0.0001 Loss = modified_huber}
SGD Classifier, 80-20, 86.51399491094148, 0.006329113924050633, 0.3333333333333333, <function f1_score at 0x00000206BC5F2020>, {Penalty = l1 Tolerance = 0.0001 Loss = perceptron}
SGD Classifier, 80-20, 86.08990670059372, 0.0379746835443038, 0.3333333333333333, <function f1_score at 0x00000206BC5F2020>, {Penalty = l2 Tolerance = 1e-05 Loss = hinge}
SGD Classifier, 80-20, 86.42917726887192, 0.006329113924050633, 0.25, <function f1_score at 0x00000206BC5F2020>, {Penalty = l2 Tolerance = 1e-05 Loss = modified_huber}
SGD Classifier, 80-20, 86.59881255301103, 0.0, 0.0, <function f1_score at 0x00000206BC5F2020>, {Penalty = l2 Tolerance = 1e-05 Loss = perceptron}
SGD Classifier, 80-20, 85.83545377438507, 0.12025316455696203, 0.40425531914893614, <function f1_score at 0x00000206BC5F2020>, {Penalty = l2 Tolerance = 0.0001 Loss = hinge}
SGD Classifier, 80-20, 86.59881255301103, 0.0, 0.0, <function f1_score at 0x00000206BC5F2020>, {Penalty = l2 Tolerance = 0.0001 Loss = modified_huber}
SGD Classifier, 80-20, 86.59881255301103, 0.0, 0.0, <function f1_score at 0x00000206BC5F2020>, {Penalty = l2 Tolerance = 0.0001 Loss = perceptron}
SGD Classifier, 80-20, 86.59881255301103, 0.0, 0.0, <function f1_score at 0x00000206BC5F2020>, {Penalty = elasticnet Tolerance = 1e-05 Loss = hinge}
SGD Classifier, 80-20, 86.08990670059372, 0.03164556962025317, 0.3125, <function f1_score at 0x00000206BC5F2020>, {Penalty = elasticnet Tolerance = 1e-05 Loss = modified_huber}
SGD Classifier, 80-20, 73.4520780322307, 0.46835443037974683, 0.24422442244224424, <function f1_score at 0x00000206BC5F2020>, {Penalty = elasticnet Tolerance = 1e-05 Loss = perceptron}
SGD Classifier, 80-20, 54.28329092451229, 0.7911392405063291, 0.19809825673534073, <function f1_score at 0x00000206BC5F2020>, {Penalty = elasticnet Tolerance = 0.0001 Loss = hinge}
SGD Classifier, 80-20, 86.59881255301103, 0.0, 0.0, <function f1_score at 0x00000206BC5F2020>, {Penalty = elasticnet Tolerance = 0.0001 Loss = modified_huber}
SGD Classifier, 80-20, 64.29177268871925, 0.3987341772151899, 0.16195372750642673, <function f1_score at 0x00000206BC5F2020>, {Penalty = elasticnet Tolerance = 0.0001 Loss = perceptron}
